Epoch: [1][110/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 26.1841 (41.4417)	Count-loss 5.8382 (1.9925)	
Epoch: [1][115/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 88.1336 (41.2826)	Count-loss 1.2190 (1.9791)	
Epoch: [1][120/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 43.4143 (40.4905)	Count-loss 2.6920 (2.0151)	
Epoch: [1][125/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 19.8335 (40.4203)	Count-loss 1.2066 (1.9517)	
Epoch: [1][130/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 98.1449 (40.8616)	Count-loss 0.0291 (1.8872)	
Epoch: [1][135/360]	Time 0.156 (0.156)	Data 0.017 (0.015)	Loss 24.8325 (40.4683)	Count-loss 0.3296 (1.8509)	
Epoch: [1][140/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 4.8685 (39.4974)	Count-loss 0.2085 (1.9468)	
Epoch: [1][145/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 15.2490 (39.7488)	Count-loss 0.4876 (1.9420)	
Epoch: [1][150/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 27.0080 (39.0749)	Count-loss 1.1305 (1.8959)	
Epoch: [1][155/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 15.8772 (38.3104)	Count-loss 1.3867 (1.9571)	
Epoch: [1][160/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 6.8097 (39.4747)	Count-loss 3.4321 (1.9931)	
Epoch: [1][165/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 125.6255 (39.3722)	Count-loss 0.0617 (1.9624)	
Epoch: [1][170/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 81.4647 (39.0072)	Count-loss 0.2963 (1.9939)	
Epoch: [1][175/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 8.7727 (38.7726)	Count-loss 13.7756 (2.0269)	
Epoch: [1][180/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 12.7345 (38.0409)	Count-loss 0.8472 (2.0166)	
Epoch: [1][185/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 10.7290 (37.7795)	Count-loss 1.0305 (1.9775)	
Epoch: [1][190/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 21.0800 (38.7634)	Count-loss 3.6581 (2.0442)	
Epoch: [1][195/360]	Time 0.157 (0.156)	Data 0.016 (0.015)	Loss 12.5187 (38.3787)	Count-loss 11.4373 (2.0821)	
Epoch: [1][200/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 11.7063 (37.7860)	Count-loss 0.1252 (2.1692)	
Epoch: [1][205/360]	Time 0.156 (0.156)	Data 0.018 (0.015)	Loss 32.3144 (37.4709)	Count-loss 0.2566 (2.3149)	
Epoch: [1][210/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 11.7407 (36.9282)	Count-loss 5.4364 (2.3138)	
Epoch: [1][215/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 18.5929 (36.6943)	Count-loss 2.1580 (2.2745)	
Epoch: [1][220/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 25.8879 (36.5058)	Count-loss 0.6975 (2.2883)	
Epoch: [1][225/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 31.7047 (36.1678)	Count-loss 0.0049 (2.2691)	
